scene_id,scene_number,location,time_of_day,speaker,text,normalized_text,sentiment,sentiment_score,word_count
S0003,3,موقع غير محدد,ليل,لؤي,انت بتودي نفسك في داهية يا ابني .. انت مش  عارف انا مين,انت بتودي نفسك في داهيه يا ابني .. انت مش  عارف انا مين,unknown,0.0,12
S0003,3,موقع غير محدد,ليل,امجد,عارف .. شوفتك الصبح  وانت بتفتش الفيلا,عارف .. شوفتك الصبح  وانت بتفتش الفيلا,unknown,0.0,6
S0003,3,موقع غير محدد,ليل,لؤي,طب ما انت عارف اهو ..  عارف كمان بقى التعرض لظابط اثناء تأدية عمله ..  ايه عقوبته,طب ما انت عارف اهو ..  عارف كمان بقي التعرض لظابط اثناء تاديه عمله ..  ايه عقوبته,unknown,0.0,15
S0003,3,موقع غير محدد,ليل,امجد,وهمه الظباط وهمه بيعملوا شغلهم .. بيدخلوا زي الحرامية يصمت لؤي عثمان دون رد فيبتسم امجد وهو ينظر له,وهمه الظباط وهمه بيعملوا شغلهم .. بيدخلوا زي الحراميه يصمت لؤي عثمان دون رد فيبتسم امجد وهو ينظر له,unknown,0.0,18
S0003,3,موقع غير محدد,ليل,امجد,قولي كنت جاي عايز ايه وانا اساعدك,قولي كنت جاي عايز ايه وانا اساعدك,unknown,0.0,7
S0003,3,موقع غير محدد,ليل,امجد,ما تستصغرنيش ... انت ما تعرفش انا اعرف ايه ... يمكن لو كنت مسكتك من يوم بس .. كان زماني قالب عليك الدنيا .. بس تقدر تقول كده ان  بقيت متأكد ان  اي حد بيفتش ورا عيلتي .. اكيد عنده سبب .. ان ما كنش  عنده حق,ما تستصغرنيش .. انت ما تعرفش انا اعرف ايه .. يمكن لو كنت مسكتك من يوم بس .. كان زماني قالب عليك الدنيا .. بس تقدر تقول كده ان  بقيت متاكد ان  اي حد بيفتش ورا عيلتي .. اكيد عنده سبب .. ان ما كنش  عنده حق,unknown,0.0,41
S0003,3,موقع غير محدد,ليل,لؤي,عايز تفهمني .. انك عارف كل حاجة عن عيلتك ...ده انت ما كملتش عشرين سنة ينظر امجد الى الدور العلوي ثم يعود لينظر الى لؤي,عايز تفهمني .. انك عارف كل حاجه عن عيلتك ..ده انت ما كملتش عشرين سنه ينظر امجد الي الدور العلوي ثم يعود لينظر الي لؤي,unknown,0.0,24
S0003,3,موقع غير محدد,ليل,امجد,: في ليلة واحدة ممكن تكبر مية سنة .. مثلا .. تمر بحادثة تكبرك .. تشوف فيلم فيه حكاية تنط بيك سنين لقدام ... تقرا رواية فيها تجربة تعجزك  مش بس تكبرك,: في ليله واحده ممكن تكبر ميه سنه .. مثلا .. تمر بحادثه تكبرك .. تشوف فيلم فيه حكايه تنط بيك سنين لقدام .. تقرا روايه فيها تجربه تعجزك  مش بس تكبرك,unknown,0.0,27
S0003,3,موقع غير محدد,ليل,لؤي,ماشي يا فيلسوف ... ابوك ... قتل ابويا ... تعرف ايه عن ده,ماشي يا فيلسوف .. ابوك .. قتل ابويا .. تعرف ايه عن ده,unknown,0.0,10
S0004,4,موقع غير محدد,ليل,حبس الرجال,يرقد رأفت  معطي ظهره لمدحت النائم في النصف بينه وبين طارق الذي كان يعطي ظهره لمدحت ايضا ولكنه يستدير ليعطي لمدحت وجهه,يرقد رافت  معطي ظهره لمدحت النائم في النصف بينه وبين طارق الذي كان يعطي ظهره لمدحت ايضا ولكنه يستدير ليعطي لمدحت وجهه,unknown,0.0,22
S0004,4,موقع غير محدد,ليل,مدحت,عم طارق .. ما تديش ضهرك لغريب في حبس يا حبيبي يعتدل طارق ليعطي ظهره لمدحت فيصمت مدحت قليلا  ثم يتحدث,عم طارق .. ما تديش ضهرك لغريب في حبس يا حبيبي يعتدل طارق ليعطي ظهره لمدحت فيصمت مدحت قليلا  ثم يتحدث,unknown,0.0,20
S0004,4,موقع غير محدد,ليل,مدحت,عارف يا طارق .. ربنا يعلم انت معزتك كانت عاملة ازاي في قلبي .. ويعلم اكتر ان ما كنش قصدي ائذيك,عارف يا طارق .. ربنا يعلم انت معزتك كانت عامله ازاي في قلبي .. ويعلم اكتر ان ما كنش قصدي ائذيك,unknown,0.0,19
S0004,4,موقع غير محدد,ليل,طارق,كلنا كنا بنعز بعض .. وكلنا اذينا بعض من غير قصد .. بس النتيجة واحدة .. الزمن ما بيرجعش لورا,كلنا كنا بنعز بعض .. وكلنا اذينا بعض من غير قصد .. بس النتيجه واحده .. الزمن ما بيرجعش لورا,unknown,0.0,17
S0004,4,موقع غير محدد,ليل,مدحت,لو رجع اكيد مش هغلط نفس الغلطة طارق : هتغلط يا مدحت .. والله هتغلط .. عشان انت لغاية دلوقتي عندك استعداد ترتكب غلطات اكبر عشان تتاكد نهال سقطت ولا لا يعتدل مدحت في مجلسه وينظر الى طارق,لو رجع اكيد مش هغلط نفس الغلطه طارق : هتغلط يا مدحت .. والله هتغلط .. عشان انت لغايه دلوقتي عندك استعداد ترتكب غلطات اكبر عشان تتاكد نهال سقطت ولا لا يعتدل مدحت في مجلسه وينظر الي طارق,unknown,0.0,35
S0004,4,موقع غير محدد,ليل,مدحت,وانت ما تعرفش يا طارق ؟.. بجد ما تعرفش ؟ يهز طارق رأسه نافيا بينما ينطق رأفت وهو مازال راقدا بنفس الشكل,وانت ما تعرفش يا طارق ؟.. بجد ما تعرفش ؟ يهز طارق راسه نافيا بينما ينطق رافت وهو مازال راقدا بنفس الشكل,unknown,0.0,22
S0004,4,موقع غير محدد,ليل,رأفت,ولا انا  اعرف يا مدحت .. ما حدش يعرف غير نهال .. والكتاب,ولا انا  اعرف يا مدحت .. ما حدش يعرف غير نهال .. والكتاب,unknown,0.0,11
S0005,5,موقع غير محدد,ليل,امجد,سليم عثمان .. سليم عثمان يتوقف عند احد الصفحات وينظر اليها بتدقيق,سليم عثمان .. سليم عثمان يتوقف عند احد الصفحات وينظر اليها بتدقيق,unknown,0.0,11
S0006,6,موقع غير محدد,ليل,رأفت,موتك هيبقى على ايدي يا سليم يا عثمان,موتك هيبقي علي ايدي يا سليم يا عثمان,unknown,0.0,8
S0007,7,موقع غير محدد,ليل,نور,ما بلاش انت يا سليم .. ده احنا دافنينه سوا .. و لا انت ليك مزاج تدفن مع اللي بيتدفن,ما بلاش انت يا سليم .. ده احنا دافنينه سوا .. و لا انت ليك مزاج تدفن مع اللي بيتدفن,unknown,0.0,18
S0007,7,موقع غير محدد,نهار,استقبال سجن,يقف طارق وقد اصبح في بداية الثلاثينات  وراء شبكة السجن وقد اطلق لحيته بغزارة ينظر الى سليم عثمان,يقف طارق وقد اصبح في بدايه الثلاثينات  وراء شبكه السجن وقد اطلق لحيته بغزاره ينظر الي سليم عثمان,unknown,0.0,18
S0007,7,موقع غير محدد,نهار,طارق,لو جي تشمت يا سليم ... بلاش .. عشان الدنيا دوارة,لو جي تشمت يا سليم .. بلاش .. عشان الدنيا دواره,unknown,0.0,9
S0008,8,موقع غير محدد,ليل,مدحت,سهل قوي عليا .. الرصاصة الجاية .. تبقى في نفوخك,سهل قوي عليا .. الرصاصه الجايه .. تبقي في نفوخك,unknown,0.0,8
S0009,9,موقع غير محدد,ليل,امجد,ياعم انا لا مجنون ولا عاقل .. اعتبرني ما شوفتكش .. اعتقد انت الكسبان .. ولو عايز تعرف اللي قتل بابك بجد .. ما تمشيش ورا  اللي شكك انه قتله ..,ياعم انا لا مجنون ولا عاقل .. اعتبرني ما شوفتكش .. اعتقد انت الكسبان .. ولو عايز تعرف اللي قتل بابك بجد .. ما تمشيش ورا  اللي شكك انه قتله ..,unknown,0.0,26
S0009,9,موقع غير محدد,ليل,امال امشي ورا مين,ينظر امجد الى صورة والدته اميرة  المعلقه في الهول ويشير اليها,ينظر امجد الي صوره والدته اميره  المعلقه في الهول ويشير اليها,unknown,0.0,11
S0010,10,موقع غير محدد,ليل,حبس السيدات,يجلسن الثلاثة اميرة ونور ونهال  بجوار بعضهن البعض,يجلسن الثلاثه اميره ونور ونهال  بجوار بعضهن البعض,unknown,0.0,8
S0010,10,موقع غير محدد,ليل,نور,هو سليم عثمان مات ؟,هو سليم عثمان مات ؟,unknown,0.0,5
S0010,10,موقع غير محدد,ليل,اميرة,والله اسالي رصيدك في البنك وهو يقولك,والله اسالي رصيدك في البنك وهو يقولك,unknown,0.0,7
S0010,10,موقع غير محدد,ليل,نهال,ايه السؤال الغريب ده يا نور,ايه السؤال الغريب ده يا نور,unknown,0.0,6
S0010,10,موقع غير محدد,ليل,نور,عادي يعني .. ما انا دفناكي بأيدي .. واديكي قاعدة جنبي .. بالعكس ده لو طلع عايش كل حاجة هتبقى وضحت .. وهيبقى هو اللي بعتلنا السي دي والرسايل يتنهدا اميرة ونهال سويا وينطقا سويا دون قصد,عادي يعني .. ما انا دفناكي بايدي .. واديكي قاعده جنبي .. بالعكس ده لو طلع عايش كل حاجه هتبقي وضحت .. وهيبقي هو اللي بعتلنا السي دي والرسايل يتنهدا اميره ونهال سويا وينطقا سويا دون قصد,unknown,0.0,33
S0010,10,موقع غير محدد,ليل,نور,لا يا نور .. سليم عثمان مات ينظر الثلاثة الى بعضهن البعض ثم يضحكن بقوة,لا يا نور .. سليم عثمان مات ينظر الثلاثه الي بعضهن البعض ثم يضحكن بقوه,unknown,0.0,14
S0011,11,موقع غير محدد,ليل,لؤي,مش عارف ليه انا مصدقك,مش عارف ليه انا مصدقك,unknown,0.0,5
S0011,11,موقع غير محدد,ليل,امجد,عشان الصدق بيبان .. والكدب بيبان .. وما فيش مصلحة تخليني اكدب عليك او اشتغلك ... بالعكس واحد غيري كان زمانه بلغ عنك .. لكن ده انا سيبك تمشي,عشان الصدق بيبان .. والكدب بيبان .. وما فيش مصلحه تخليني اكدب عليك او اشتغلك .. بالعكس واحد غيري كان زمانه بلغ عنك .. لكن ده انا سيبك تمشي,unknown,0.0,25
S0011,11,موقع غير محدد,ليل,امجد,قرفان قوي ..  جوايا قرف يا يخليني انتحر .. يا اكتئب .. يا امشي ورا الحق,قرفان قوي ..  جوايا قرف يا يخليني انتحر .. يا اكتئب .. يا امشي ورا الحق,unknown,0.0,13
S0011,11,موقع غير محدد,ليل,اكيد هنتقابل تاني,ثم يخرج ليغلق امجد الباب خلفه ويتجه الى  السلم  واثناء سيره يتستدير لينظر الى صورة رافت واميرة وكأنهما يتابعانه فيغلق عينيه ويأخذ نفسا عميقا ويعاود السير,ثم يخرج ليغلق امجد الباب خلفه ويتجه الي  السلم  واثناء سيره يتستدير لينظر الي صوره رافت واميره وكانهما يتابعانه فيغلق عينيه وياخذ نفسا عميقا ويعاود السير,unknown,0.0,26
S0013,13,بداية الفلاش باك,نهار,صوت عمرو دياب,من كام سنة ميال .. ميال .. وفي حبك انا .. مشغول البال .. لا بتتكلمي ولا بتسلمي .. وفي كل يومين بلاقيكي  بحال .. طب  ده  انا ميال يدخل رأفت الى الصالة وقدا بدا غاضبا ومنهارا فى ذات الوقت ويتجه الى حسين,من كام سنه ميال .. ميال .. وفي حبك انا .. مشغول البال .. لا بتتكلمي ولا بتسلمي .. وفي كل يومين بلاقيكي  بحال .. طب  ده  انا ميال يدخل رافت الي الصاله وقدا بدا غاضبا ومنهارا في ذات الوقت ويتجه الي حسين,unknown,0.0,37
S0013,13,بداية الفلاش باك,نهار,رأفت,شوفت المصيبة ؟,شوفت المصيبه ؟,unknown,0.0,3
S0013,13,بداية الفلاش باك,نهار,حسين,في ايه خير مالك ؟,في ايه خير مالك ؟,unknown,0.0,5
S0014,14,موقع غير محدد,نهار,رأفت,في  نفس الشهر جيش الاتحاد يبدأ ينسحب من افغانستان .. و جورباتشوف رايح يعملي قمة مع ريجان .. اللي بيحصل  ده مش مريح تماما يا حسين,في  نفس الشهر جيش الاتحاد يبدا ينسحب من افغانستان .. و جورباتشوف رايح يعملي قمه مع ريجان .. اللي بيحصل  ده مش مريح تماما يا حسين,unknown,0.0,24
S0014,14,موقع غير محدد,نهار,حسين,عندك حق ... وفاهم قلقك .. بس ده كان شيء متوقع .. الاتحاد بقاله عشر سنين بينزف دم .. والسعودية وامريكا ما بيغلبوش .. ده غيرنا احنا .. باب الجهاد مفتوح من 84 .. ويا مكتر مجاهدنا يجلس رأفت على احد الكراسي محبطا للغاية,عندك حق .. وفاهم قلقك .. بس ده كان شيء متوقع .. الاتحاد بقاله عشر سنين بينزف دم .. والسعوديه وامريكا ما بيغلبوش .. ده غيرنا احنا .. باب الجهاد مفتوح من 84 .. ويا مكتر مجاهدنا يجلس رافت علي احد الكراسي محبطا للغايه,unknown,0.0,36
S0014,14,موقع غير محدد,نهار,رأفت,والعمل يا حسين .. ايه اللي بأيدنا احنا نعمله ؟,والعمل يا حسين .. ايه اللي بايدنا احنا نعمله ؟,unknown,0.0,9
S0014,14,موقع غير محدد,نهار,حسين,زي ما احنا  .. بنحاول ونحاول ونحاول .. لغاية ما نوصل للي احنا عايزينه,زي ما احنا  .. بنحاول ونحاول ونحاول .. لغايه ما نوصل للي احنا عايزينه,unknown,0.0,12
S0014,14,موقع غير محدد,نهار,رأفت,بنحاول ايه بس يا حسين .. احنا من يوم ما مسكنا المخروب ده وانا مش حاسس اننا بنعمل اي حاجة مفيدة للحركة ..,بنحاول ايه بس يا حسين .. احنا من يوم ما مسكنا المخروب ده وانا مش حاسس اننا بنعمل اي حاجه مفيده للحركه ..,unknown,0.0,21
S0014,14,موقع غير محدد,نهار,حسين,ازاي بس .. انت عارف احنا قدرنا نعمل كام اضراب من استفتاء الرئاسة لحد دلوقتي ؟,ازاي بس .. انت عارف احنا قدرنا نعمل كام اضراب من استفتاء الرئاسه لحد دلوقتي ؟,unknown,0.0,15
S0014,14,موقع غير محدد,نهار,رأفت,خلاص بقى اقصى طموحاتنا الاضرابات ؟ تطرق اميرة على الباب وتدخل,خلاص بقي اقصي طموحاتنا الاضرابات ؟ تطرق اميره علي الباب وتدخل,unknown,0.0,11
S0014,14,موقع غير محدد,نهار,اميرة,مساء الخير,مساء الخير,unknown,0.0,2
S0014,14,موقع غير محدد,نهار,حسين,انا هسيبكوا واروح اشوف الشغل يخرج ويغلق الباب خلفه فتنظر اميرة الى رافت,انا هسيبكوا واروح اشوف الشغل يخرج ويغلق الباب خلفه فتنظر اميره الي رافت,unknown,0.0,13
S0014,14,موقع غير محدد,نهار,اميرة,مالك ؟,مالك ؟,unknown,0.0,2
S0014,14,موقع غير محدد,نهار,رأفت,شوية قرف كده .. قوليلي جاية بدري ليه ؟,شويه قرف كده .. قوليلي جايه بدري ليه ؟,unknown,0.0,8
S0014,14,موقع غير محدد,نهار,اميرة,كنت عايزة اتكلم معاك في موضوع,كنت عايزه اتكلم معاك في موضوع,unknown,0.0,6
S0014,14,موقع غير محدد,نهار,رأفت,خير ؟,خير ؟,unknown,0.0,2
S0014,14,موقع غير محدد,نهار,اميرة,هو احنا هنتجوز امتى ؟,هو احنا هنتجوز امتي ؟,unknown,0.0,5
S0015,15,موقع غير محدد,نهار,الشخص,حضرتك حسين يعقوب ؟,حضرتك حسين يعقوب ؟,unknown,0.0,4
S0015,15,موقع غير محدد,نهار,حسين,ايوة خير ؟,ايوه خير ؟,unknown,0.0,3
S0015,15,موقع غير محدد,نهار,الشخص,اتفضل معانا .. عايزينك في مشوار كده ينظر له حسين بقلق شديد,اتفضل معانا .. عايزينك في مشوار كده ينظر له حسين بقلق شديد,unknown,0.0,11
S0016,16,موقع غير محدد,نهار,رأفت,مش مطنش ولا حاجة  يا اميرة .. كل الحكاية ان في مليون حاجة في دماغي,مش مطنش ولا حاجه  يا اميره .. كل الحكايه ان في مليون حاجه في دماغي,unknown,0.0,14
S0016,16,موقع غير محدد,نهار,رافت,اكيد لا .. بس  في اولويات,اكيد لا .. بس  في اولويات,unknown,0.0,5
S0016,16,موقع غير محدد,نهار,اميرة,وانا مش الاولوية رقم واحد في حياتك,وانا مش الاولويه رقم واحد في حياتك,unknown,0.0,7
S0016,16,موقع غير محدد,نهار,رأفت,عايزة تتجوزي امتى يا اميرة ؟,عايزه تتجوزي امتي يا اميره ؟,unknown,0.0,6
S0016,16,موقع غير محدد,نهار,اميرة,اه .. تحصيل حاصل يعني .. لا يا رأفت .. انا مش لقيه عشان تتجوزني تحصيل حاصل .. لما انت تبقى عايز تتجوز ابقى قول ثم تخرج وتتركه وحده ليبدوا حانقا,اه .. تحصيل حاصل يعني .. لا يا رافت .. انا مش لقيه عشان تتجوزني تحصيل حاصل .. لما انت تبقي عايز تتجوز ابقي قول ثم تخرج وتتركه وحده ليبدوا حانقا,unknown,0.0,27
S0016,16,موقع غير محدد,نهار,رأفت,نقصاكي هي كمان اليومين دول يا اميرة يرن  الهاتف الارضي فيتجه اليه ليرد رأفت : الو,نقصاكي هي كمان اليومين دول يا اميره يرن  الهاتف الارضي فيتجه اليه ليرد رافت : الو,unknown,0.0,15
S0017,17,موقع غير محدد,نهار,سنقر,كده احبك .. مستني الفلوس بنفس الطريقة واسمع الكلام يا ابن الحلال .. ما تتعبش نفسك وتقعد تمشي وراهم زي كل مرة .. الزبالة دي موال انت مش قده ثم يغلق السماعة ليستدير ليجد سمرة في مواجهته,كده احبك .. مستني الفلوس بنفس الطريقه واسمع الكلام يا ابن الحلال .. ما تتعبش نفسك وتقعد تمشي وراهم زي كل مره .. الزباله دي موال انت مش قده ثم يغلق السماعه ليستدير ليجد سمره في مواجهته,unknown,0.0,34
S0017,17,موقع غير محدد,نهار,سمرة,.. انا سمعت كل حاجة  وعايزة افهم,.. انا سمعت كل حاجه  وعايزه افهم,unknown,0.0,6
S0017,17,موقع غير محدد,نهار,سنقر,مالكيش فيه يا سمرة .. انتي ليكي اجرة التليفون,مالكيش فيه يا سمره .. انتي ليكي اجره التليفون,unknown,0.0,8
S0017,17,موقع غير محدد,نهار,سمرة,وحياة امك .. ولما اللي بتكلمه يبلغ ويراقب التليفون .. هيبقى ماليش فيه,وحياه امك .. ولما اللي بتكلمه يبلغ ويراقب التليفون .. هيبقي ماليش فيه,unknown,0.0,11
S0017,17,موقع غير محدد,نهار,سنقر,خلاص يا سمرة .. ما عدتش جاي اتكلم من عندك,خلاص يا سمره .. ما عدتش جاي اتكلم من عندك,unknown,0.0,9
S0017,17,موقع غير محدد,نهار,سمرة,بقولك ايه .. مش عليا الجو ده .. قبل ما تعتب باب الشقة عكون بطحة نفسي عليك ولامة الشارع .. واقول كان بيقلب الشقة .. والشارع كله يحب يخدم ... وانت عارف ينظر سنقر الي عينيها المصرتين,بقولك ايه .. مش عليا الجو ده .. قبل ما تعتب باب الشقه عكون بطحه نفسي عليك ولامه الشارع .. واقول كان بيقلب الشقه .. والشارع كله يحب يخدم .. وانت عارف ينظر سنقر الي عينيها المصرتين,unknown,0.0,32
S0017,17,موقع غير محدد,نهار,سنقر,جن .. والعياذ بالله,جن .. والعياذ بالله,unknown,0.0,3
S0018,18,موقع غير محدد,نهار,مكتب فريد هجرس,يجلس فريد هجرس  خلف مكتبه ويجلس امام المكتب حسين يعقوب  ويبدو حسين متربكا للغاية,يجلس فريد هجرس  خلف مكتبه ويجلس امام المكتب حسين يعقوب  ويبدو حسين متربكا للغايه,unknown,0.0,14
S0018,18,موقع غير محدد,نهار,فريد,انت مرتبك ليه .. مش عوايدك,انت مرتبك ليه .. مش عوايدك,unknown,0.0,5
S0018,18,موقع غير محدد,نهار,حسين,انا بس مش فاهم انا هنا ليه ؟,انا بس مش فاهم انا هنا ليه ؟,unknown,0.0,8
S0018,18,موقع غير محدد,نهار,فريد,بيزنس .. ايه ما ينفعش يصمت حسين قليلا فيبتسم فريد,بيزنس .. ايه ما ينفعش يصمت حسين قليلا فيبتسم فريد,unknown,0.0,9
S0018,18,موقع غير محدد,نهار,فريد,انا معجب بيك فوق ما انت تتخيل .. ومتابعك من اول يوم عرفت فيه رأفت,انا معجب بيك فوق ما انت تتخيل .. ومتابعك من اول يوم عرفت فيه رافت,unknown,0.0,14
S0018,18,موقع غير محدد,نهار,حسين,بس ايه نوع البيزنس اللي حضرتك  عايزني فيه,بس ايه نوع البيزنس اللي حضرتك  عايزني فيه,unknown,0.0,8
